popularity_rank,title,year,genres
485,The Blair Witch Project,,"Horror, Mystery"
486,Now You See Me,,"Thriller, Crime"
487,Boogie Nights,,Drama
488,Mr. & Mrs. Smith,,"Action, Drama, Thriller"
489,The Idea of You,,"Romance, Drama"
490,Life of Pi,,"Adventure, Drama"
491,Fresh,,"Horror, Thriller"
492,The Maze Runner,,"Action, Mystery, Science Fiction, Thriller"
493,Magnolia,,Drama
494,Heathers,,"Comedy, Crime"
495,Hacksaw Ridge,,"Drama, History, War"
496,Aliens,,"Action, Thriller, Science Fiction"
497,Aladdin,,"Animation, Family, Adventure, Fantasy, Romance"
498,The Power of the Dog,,"Drama, Western"
499,A Nightmare on Elm Street,,Horror
500,Elf,,"Comedy, Family, Fantasy"
501,Casino Royale,,"Adventure, Action, Thriller"
502,The Invisible Man,,"Thriller, Science Fiction, Horror"
503,Despicable Me,,"Animation, Family, Comedy, Action"
504,Rosemary's Baby,,"Drama, Horror, Thriller"
505,Monsters University,,"Animation, Family"
506,X-Men: Days of Future Past,,"Action, Adventure, Science Fiction"
507,It's a Wonderful Life,,"Drama, Family, Fantasy"
508,The Hobbit: An Unexpected Journey,,"Adventure, Fantasy, Action"
509,Dawn of the Planet of the Apes,,"Science Fiction, Action, Drama, Thriller"
510,Indiana Jones and the Last Crusade,,"Adventure, Action"
511,Megamind,,"Animation, Action, Comedy, Family, Science Fiction"
512,Cocaine Bear,,"Thriller, Comedy, Crime"
513,American History X,,Drama
514,Nocturnal Animals,,"Drama, Thriller"
515,Men in Black,,"Action, Adventure, Comedy, Science Fiction"
516,The Parent Trap,,"Comedy, Family, Romance"
517,Batman v Superman: Dawn of Justice,,"Action, Adventure, Fantasy"
518,Sorry to Bother You,,"Fantasy, Science Fiction, Comedy"
519,Singin' in the Rain,,"Comedy, Romance"
520,The Emperor's New Groove,,"Adventure, Animation, Comedy, Family, Fantasy"
521,Solo: A Star Wars Story,,"Science Fiction, Adventure, Action"
522,Raging Bull,,Drama
523,Roma,,"Comedy, Drama"
524,Casino,,"Crime, Drama"
525,Dazed and Confused,,"Comedy, Drama"
526,Napoleon,,"History, War, Romance, Drama"
527,Late Night with the Devil,,Horror
528,The Girl with the Dragon Tattoo,,"Thriller, Crime, Mystery"
529,WandaVision,,
530,Spencer,,"Drama, History"
531,The Lego Batman Movie,,"Animation, Action, Comedy, Family"
532,Jumanji: Welcome to the Jungle,,"Adventure, Comedy, Fantasy"
533,Paprika,,Drama
534,The Little Mermaid,,"Adventure, Family, Fantasy, Romance"
535,Eraserhead,,Horror
536,Seven Samurai,,"Action, Drama"
537,Ice Age,,"Animation, Comedy, Family, Adventure"
538,Possession,,Horror
539,Being John Malkovich,,"Comedy, Drama, Fantasy"
540,Enemy,,"Thriller, Mystery"
541,Atonement,,"Drama, Romance"
542,The Darjeeling Limited,,"Adventure, Drama, Comedy"
543,Persona,,Drama
544,Aquaman,,"Action, Adventure, Fantasy"
545,Lilo & Stitch,,"Animation, Family"
